thread_id,text,n_turns,resolved,pred_intent,confidence,difficulty,true_intent,ideal_reply_direction,escalate,escalate_reason
2856745,"Where do you declare the winner of any contest.I hv been following it, every time you organise contest and don't announce the winner. Where is the winner of latest #AmazonPayAppQuiz contest ?",4,False,delivery_problem,0.1067839679443991,ambiguous,,,,
1476913,Any news on when we could expect the date announcements for Sneaky Pete and Man in the High Castle? Seems like forever!!,2,False,delivery_problem,0.1116551986165788,ambiguous,,,,
2835731,"@115850 ""don't worry papa, I have many friends in Prime video to spend time with"". My 6 year old says when she broke her hand and needed 1 month rest at home. Thanks guys for building confidence among viewers , even in the little one's. https://t.co/xJRYnVSz5w",2,False,delivery_problem,0.1121681116883262,ambiguous,,,,
2766909,"this ibrahim ahmed, this ma number 

 i got message that i will get my older today and the delegate called said he will come tody at 12 pm then then he did not come i called him at his number he did not pick up the call i would like to complain",2,False,delivery_problem,0.1134215570821752,ambiguous,,,,
1658924,"So I redirected my shipment roughly 10 minutes away a night before delivery, you guys reschedule my shipment, delay it by 24-48 hours, while your call center staff never mentioned any delay. Any solution to this?",4,False,delivery_problem,0.1152779003246153,ambiguous,,,,
2562086,wanted to say what a load of crap the person was couldn't wait yo get shot of me,2,False,delivery_problem,0.1160636766296799,ambiguous,,,,
2935178,"I no longer care why I didn't receive my original order.
I accepted an offer of a ""replacement"" # 204-2308236-4177934
Only to find out you don't have any - nor do you know when you will!
Think its time for a different solution for a replacement, don't you?",4,False,delivery_problem,0.1162588586534846,ambiguous,,,,
2269371,"kindly check the product and the manner it is described by the brand..
@45925 is selling its siti sheild mask with false description.
The package does not contains a mini fan but in the product demo description they have mentioned it in detail about the mini fan.",5,False,delivery_problem,0.1162651888800513,ambiguous,,,,
1865118,"Hello, is there a reason the standard Fire Emblem Warriors for Switch doesn't have the £2.00 off discount? (Preordered in Jan.)",4,False,delivery_problem,0.1168646369423058,ambiguous,,,,
2240657,In more than 10 years had never let me down until today,2,False,delivery_problem,0.1177920889226785,ambiguous,,,,
